"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 14 15:53:28 CST 2024","Sat Dec 14 15:53:42 CST 2024","14234","TestCase","test_login","TestChannel","","","test_bilibili_login1",""
"passed","Sat Dec 14 15:53:42 CST 2024","Sat Dec 14 15:54:01 CST 2024","19101","TestCase","test_login","TestChannel","","","test_bilibili_login2",""
